Transect,Material,Distance,Fraction,Species,FG,Dispersal,Total Thinned,Total Repotted,Total Pressed,Remaining,Total Count
T8,FFMM,3,500,Sonchus sp.,I,w,4,0,0,1,5
T8,FFMM,10,500,Sonchus sp.,I,w,2,0,0,0,2
T8,FFMM,10,212,Sonchus sp.,I,w,1,0,0,0,1
T9,FFMM,0,500,Sonchus sp.,I,w,5,0,0,0,5
T9,FFMM,3,500,Sonchus sp.,I,w,2,0,0,0,2
T9,FFMM,5,500,Sonchus sp.,I,w,6,0,0,0,6
T9,FFMM,10,500,Sonchus sp.,I,w,3,0,0,0,3
T9,FFMM,15,500,Sonchus sp.,I,w,4,0,0,0,4
T16,FFMM,3,500,Sonchus sp.,I,w,8,0,0,0,8
T16,FFMM,5,500,Sonchus sp.,I,w,4,0,0,0,4
T16,FFMM,10,500,Sonchus sp.,I,w,2,0,0,0,2
T16,FFMM,10,212,Sonchus sp.,I,w,1,0,0,0,1
T25,FFMM,0,500,Sonchus sp.,I,w,5,0,0,0,5
T25,FFMM,3,500,Sonchus sp.,I,w,3,0,0,1,4
T25,FFMM,5,500,Sonchus sp.,I,w,2,0,0,0,2
T25,FFMM,10,500,Sonchus sp.,I,w,2,0,0,0,2
T25,FFMM,15,500,Sonchus sp.,I,w,4,0,0,0,4
T25,FFMM,20,500,Sonchus sp.,I,w,6,0,0,0,6
T26 at C,FFMM,0,500,Sonchus sp.,I,w,20,0,0,0,20
T26,FFMM,3,500,Sonchus sp.,I,w,25,2,0,,27
T26,FFMM,5,500,Sonchus sp.,I,w,1,0,0,0,1
T26/28?,FFMM,10,500,Sonchus sp.,I,w,20,0,0,0,20
T26 at D,FFMM,10,500,Sonchus sp.,I,w,7,0,0,0,7
T26,FFMM,20,500,Sonchus sp.,I,w,1,0,0,0,1
T27,FFMM,0,350,Sonchus sp.,I,w,0,0,0,1,1
T27,FFMM,3,500,Sonchus sp.,I,w,3,0,0,0,3
T27,FFMM,5,500,Sonchus sp.,I,w,2,0,0,0,2
T27,FFMM,10,500,Sonchus sp.,I,w,4,0,0,0,4
T27,FFMM,15,500,Sonchus sp.,I,w,3,0,0,0,3
T28,FFMM,5,500,Sonchus sp.,I,w,65,0,0,0,65
T28,FFMM,15,500,Sonchus sp.,I,w,16,0,0,0,16
T28,FFMM,20,500,Sonchus sp.,I,w,26,0,0,0,26
T29,FFMM,0,500,Sonchus sp.,I,w,4,0,0,0,4
T29,FFMM,0,212,Sonchus sp.,I,w,2,0,0,0,2
T29,FFMM,3,500,Sonchus sp.,I,w,12,0,0,4,16
T29,FFMM,5,500,Sonchus sp.,I,w,6,0,0,0,6
T29,FFMM,10,500,Sonchus sp.,I,w,6,0,0,0,6
T29,FFMM,15,500,Sonchus sp.,I,w,28,0,0,0,28
T29,FFMM,20,500,Sonchus sp.,I,w,20,0,0,0,20
T26,FFMM,3,212,Sonchus sp./ Crepis,I,w,0,0,0,1,1
T9,FFMM,5,500,Taraxacum officinale,I,w,1,0,0,0,1
T16,FFMM,10,500,Taraxacum officinale?,I,w,0,0,0,1,1
T16,FFMM,5,500,Lepiden,I,w,2,0,0,3,5
T6,FFMM,3,500,Urtica dioica,I,w,0,0,0,1,1
T6,FFMM,5,350,Urtica dioica,I,w,0,0,0,1,1
T8,FFMM,5,212,Urtica dioica,I,w,0,0,0,1,1
T26,FFMM,5,212,Urtica dioica,I,w,0,0,0,2,2
T9,FFMM,10,500,Urtica dioica,I,w,0,0,0,1,1
T28/T26?,PMM,5,350,Crepis sp.,I,w,3,0,0,0,3
T5,PMM,20,500,Crepis tectorum,I,w,0,0,0,2,2
T6,PMM,0,350,Crepis tectorum,I,w,1,0,0,0,1
T8,PMM,0,500,Crepis tectorum,I,w,3,0,0,0,3
T8,PMM,10,500,Crepis tectorum,I,w,4,0,0,0,4
T8,PMM,15,500,Crepis tectorum,I,w,1,0,0,0,1
T9,PMM,20,500,Crepis tectorum,I,w,1,0,0,0,1
T16,PMM,3,500,Crepis tectorum,I,w,2,0,0,0,2
T16,PMM,10,500,Crepis tectorum,I,w,2,0,0,0,2
T25,PMM,0,500,Crepis tectorum,I,w,3,0,0,0,3
T25,PMM,5,500,Crepis tectorum,I,w,2,0,0,0,2
T25,PMM,15,500,Crepis tectorum,I,w,1,0,0,0,1
T26 at D,PMM,0,500,Crepis tectorum,I,w,50,0,0,0,50
T26 at D,PMM,0,212,Crepis tectorum,I,w,2,0,0,0,2
T26/28? at C,PMM,3,500,Crepis tectorum,I,w,0,0,0,3,3
T26 at D,PMM,3,500,Crepis tectorum,I,w,22,0,0,0,22
T26 at D,PMM,3,212,Crepis tectorum,I,w,2,0,0,0,2
T26 at D,PMM,5,500,Crepis tectorum,I,w,7,0,0,4,11
T26 at D,PMM,5,212,Crepis tectorum,I,w,1,0,0,0,1
T26/28?,PMM,10,500,Crepis tectorum,I,w,3,0,0,0,3
T26 at D,PMM,10,500,Crepis tectorum,I,w,14,0,0,1,15
T26 at D,PMM,20,500,Crepis tectorum,I,w,1,0,0,0,1
T27,PMM,20,500,Crepis tectorum,I,w,1,0,0,0,1
T28,PMM,0,500,Crepis tectorum,I,w,16,2,0,0,18
T28/T26?,PMM,5,212,Crepis tectorum,I,w,1,0,0,1,2
T28,PMM,20,500,Crepis tectorum,I,w,1,0,0,0,1
T29 at D,PMM,0,500,Crepis tectorum,I,w,1,0,0,0,1
T29,PMM,3,500,Crepis tectorum,I,w,0,0,0,3,3
T29,PMM,10,500,Crepis tectorum,I,w,2,0,0,0,2
T9,PMM,0,500,Creptis tectorum,I,w,2,0,0,0,2
T26 at D,PMM,15,500,Creptis tectorum,I,w,20,0,0,14,34
T26 at D,PMM,3,500,Lactuca seriola,I,w,1,0,0,0,1
T26/28?,PMM,10,500,Lactuca seriola,I,w,1,0,0,0,1
T26 at D,PMM,15,500,Lactuca seriola,I,w,1,0,0,0,1
T6,PMM,0,350,Lepidium densiflorum,I,w,11,0,0,0,11
T8,PMM,0,500,Lepidium densiflorum,I,w,1,0,0,0,1
T16,PMM,10,500,Lepidium densiflorum,I,w,1,0,0,0,1
T25,PMM,15,500,Lepidium densiflorum,I,w,0,0,0,1,1
T26 at D,PMM,0,500,Lepidium densiflorum,I,w,20,0,0,2,22
T26 at D,PMM,3,500,Lepidium densiflorum,I,w,0,0,0,1,1
T27,PMM,5,500,Lepidium densiflorum,I,w,1,0,0,0,1
T27,PMM,10,500,Lepidium densiflorum,I,w,15,0,0,0,15
T27,PMM,10,212,Lepidium densiflorum,I,w,0,0,0,1,1
T27,PMM,15,500,Lepidium densiflorum,I,w,19,0,0,0,19
T27,PMM,20,500,Lepidium densiflorum,I,w,1,0,0,0,1
T29,PMM,3,500,Lepidium densiflorum,I,w,1,0,0,0,1
T26/28?,PMM,15,500,Lepidium densiflorum?,I,w,0,0,0,1,1
T8,PMM,3,500,Lyrate mustard,I,w,1,0,0,1,2
T8,PMM,3,500,Lyrate mustard Rorippa palustris,I,w,1,0,0,0,1
T8,PMM,10,500,Melilotus sp.,I,w,0,0,0,1,1
T8,PMM,10,500,Rorippa palustris,I,w,1,0,0,0,1
T9,PMM,15,500,Rorippa palustris,I,w,0,0,1,0,1
T8,PMM,5,500,Rorippa palustris (#6),I,w,0,0,0,4,4
T27,PMM,10,500,Rorippa ralustris,I,w,0,0,0,1,1
T5,PMM,3,500,Sonchus,I,w,13,0,0,0,13
T5,PMM,20,500,Sonchus sp.,I,w,23,0,0,1,24
T6,PMM,0,350,Sonchus sp.,I,w,27,0,0,0,27
T6,PMM,5,212,Sonchus sp.,I,w,1,0,0,0,1
T6,PMM,10,500,Sonchus sp.,I,w,30,2,0,0,32
T6,PMM,15,500,Sonchus sp.,I,w,8,0,0,0,8
T8,PMM,0,500,Sonchus sp.,I,w,3,0,0,0,3
T8,PMM,3,500,Sonchus sp.,I,w,3,0,0,0,3
T8,PMM,5,500,Sonchus sp.,I,w,16,0,0,0,16
T8,PMM,10,500,Sonchus sp.,I,w,3,0,0,0,3
T8,PMM,15,500,Sonchus sp.,I,w,12,0,0,0,12
T8,PMM,20,500,Sonchus sp.,I,w,1,0,0,0,1
T9,PMM,0,500,Sonchus sp.,I,w,5,0,0,0,5
T9,PMM,3,500,Sonchus sp.,I,w,2,0,0,0,2
T9,PMM,5,500,Sonchus sp.,I,w,0,0,0,4,4
T9,PMM,15,500,Sonchus sp.,I,w,8,0,0,0,8
T9,PMM,20,500,Sonchus sp.,I,w,2,0,0,0,2
T16,PMM,3,500,Sonchus sp.,I,w,3,0,0,0,3
T16,PMM,10,500,Sonchus sp.,I,w,3,0,0,0,3
T16,PMM,20,500,Sonchus sp.,I,w,13,0,0,0,13
T25,PMM,0,500,Sonchus sp.,I,w,11,0,0,0,11
T25,PMM,3,500,Sonchus sp.,I,w,1,0,0,0,1
T25,PMM,5,500,Sonchus sp.,I,w,3,0,0,0,3
T25,PMM,10,212,Sonchus sp.,I,w,2,0,0,0,2
T25,PMM,15,500,Sonchus sp.,I,w,4,0,0,0,4
T25,PMM,20,500,Sonchus sp.,I,w,4,0,0,0,4
T26 at D,PMM,0,500,Sonchus sp.,I,w,5,0,0,0,5
T26/28? at C,PMM,3,500,Sonchus sp.,I,w,19,0,0,0,19
T26 at D,PMM,5,500,Sonchus sp.,I,w,2,0,0,0,2
T26/28?,PMM,10,500,Sonchus sp.,I,w,44,0,0,0,44
T26 at D,PMM,10,500,Sonchus sp.,I,w,1,0,0,0,1
T26/28?,PMM,15,500,Sonchus sp.,I,w,33,0,0,0,33
T26 at D,PMM,15,500,Sonchus sp.,I,w,2,0,0,0,2
T26 at D,PMM,20,500,Sonchus sp.,I,w,2,0,0,0,2
T27,PMM,0,500,Sonchus sp.,I,w,3,0,0,0,3
T27,PMM,3,500,Sonchus sp.,I,w,5,0,0,0,5
T27,PMM,5,500,Sonchus sp.,I,w,19,0,0,0,19
T27,PMM,15,500,Sonchus sp.,I,w,2,0,0,0,2
T27,PMM,20,500,Sonchus sp.,I,w,2,0,0,0,2
T28,PMM,0,500,Sonchus sp.,I,w,19,3,0,0,22
T28/T26?,PMM,5,350,Sonchus sp.,I,w,8,0,0,0,8
T28,PMM,20,500,Sonchus sp.,I,w,16,0,0,0,16
T29 at D,PMM,0,500,Sonchus sp.,I,w,23,0,0,1,24
T29,PMM,3,500,Sonchus sp.,I,w,13,0,0,1,14
T29,PMM,5,500,Sonchus sp.,I,w,25,0,0,0,25
T29,PMM,10,500,Sonchus sp.,I,w,30,0,0,0,30
T29 at D,PMM,15,500,Sonchus sp.,I,w,10,0,0,0,10
T29 at D,PMM,20,500,Sonchus sp.,I,w,9,0,0,0,9
T28/T26?,PMM,5,350,Sonchus sp. / Crepis sp.,I,w,0,0,0,0,0
T28/T26?,PMM,5,212,Sonchus sp.?,I,w,1,0,0,0,1
T5,PMM,3,212,Stinging nettle,I,w,1,0,0,0,1
T5,PMM,3,500,Urtic dioca,I,w,28,0,0,0,28
T6,PMM,10,212,Urtica dioica,I,w,0,0,0,1,1
T8,PMM,3,212,Urtica dioica,I,w,1,0,0,0,1
T8,PMM,5,500,Urtica dioica,I,w,0,0,0,4,4
T8,PMM,15,212,Urtica dioica,I,w,0,0,0,1,1
T9,PMM,15,500,Urtica dioica,I,w,1,0,0,0,1
T9,PMM,15,212,Urtica dioica,I,w,1,0,0,0,1
T16,PMM,3,500,Urtica dioica,I,w,0,0,0,1,1
T16,PMM,10,500,Urtica dioica,I,w,0,0,0,1,1
T16,PMM,20,500,Urtica dioica,I,w,2,0,0,0,2
T26 at D,PMM,3,500,Urtica dioica,I,w,0,0,0,1,1
T26/28?,PMM,10,212,Urtica dioica,I,w,1,0,0,1,2
T26 at D,PMM,10,212,Urtica dioica,I,w,0,0,0,1,1
T28/T26?,PMM,5,350,Urtica dioica,I,w,0,0,0,1,1
T26/28?,PMM,10,500,Senecio,I,w,,,,,4
T26/28?,PMM,15,500,Senecio,I,w,,,,,1
T28,PMM,20,500,Senecio,I,w,,,,,1
T26/28? at C,PMM,3,500,Senecio,I,w,,,,,4
T25,PMM,20,212,Aspen,T,w,2,0,0,0,2
T6,PMM,5,212,Aspen?,T,w,1,0,0,0,1
T16,PMM,20,500,conifer,T,w,1,0,0,1,2
T26/28? at C,PMM,3,500,conifer,T,w,0,0,0,1,1
T27,PMM,0,500,Picea sp.,T,w,0,0,0,1,1
T9,PMM,20,212,Populus tremuiloides,T,w,0,0,0,3,3
T8,PMM,5,500,Populus tremuloides,T,w,0,0,0,20,20
T8,PMM,10,500,Populus tremuloides,T,w,3,0,0,0,3
T9,PMM,15,212,Populus tremuloides,T,w,1,0,0,0,1
T29,FFMM,5,212,Populus tremuloides,T,w,1,0,0,0,1
T29,PMM,3,212,Populus tremuloides,T,w,1,0,0,5,6
T26/28?,PMM,10,212,Populus tremuloides (ash ?),T,w,0,0,0,1,1
T9,PMM,0,500,Populus tremuloides?,T,w,0,0,0,1,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,32812
